"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","验证登录成功","test_cases","Tue Mar 25 20:06:50 CST 2025","passed","Tue Mar 25 20:06:50 CST 2025","Test2","test_2","",""
"说明：这是一个说明描述，加载这里","1","验证登录失败","test_cases","Tue Mar 25 20:06:50 CST 2025","passed","Tue Mar 25 20:06:50 CST 2025","Test2","test_2","",""
"","0","验证错误密码","test_cases","Tue Mar 25 20:06:50 CST 2025","passed","Tue Mar 25 20:06:50 CST 2025","Test2","test_2","",""
"","0","test_del_order","test_cases","Tue Mar 25 20:06:50 CST 2025","passed","Tue Mar 25 20:06:50 CST 2025","TestApi","test_1","",""
"","0","test_add_order","test_cases","Tue Mar 25 20:06:50 CST 2025","passed","Tue Mar 25 20:06:50 CST 2025","TestApi","test_1","",""
"","0","test_select_order","test_cases","Tue Mar 25 20:06:50 CST 2025","skipped","Tue Mar 25 20:06:50 CST 2025","TestApi","test_1","",""
"","0","test_register","test_cases","Tue Mar 25 20:06:50 CST 2025","passed","Tue Mar 25 20:06:50 CST 2025","TestApi","test_1","",""
"","0","test_comeon_order","test_cases","Tue Mar 25 20:06:50 CST 2025","skipped","Tue Mar 25 20:06:50 CST 2025","TestApi","test_1","",""
"","11209","测试用例名：正确-账号密码-登陆","test_cases","Tue Mar 25 20:06:50 CST 2025","broken","Tue Mar 25 20:07:01 CST 2025","Test_login","test_Template","",""
"","1","test_login","test_cases","Tue Mar 25 20:06:50 CST 2025","broken","Tue Mar 25 20:06:50 CST 2025","TestApi","test_1","",""
"","1","test_del_user","test_cases","Tue Mar 25 20:06:50 CST 2025","passed","Tue Mar 25 20:06:50 CST 2025","TestApi","test_1","",""
"","0","test_add_user","test_cases","Tue Mar 25 20:06:50 CST 2025","passed","Tue Mar 25 20:06:50 CST 2025","TestApi","test_1","",""
